,img,label
0,"[0.5876838, 0.5044777, 0.5154942, 0.563634, 0.5265877, 0.4303633, 0.5586271, 0.6258305, 0.5772987, 0.3490994, 0.8523338, 0.7774972, 0.8433314, 0.1896673]",1
1,"[0.5876839, 0.5044778, 0.5154943, 0.5636341, 0.5265878, 0.4303634, 0.5586272, 0.6258306, 0.5772988, 0.3490995, 0.8523339, 0.7774973, 0.8433315, 0.1896674]",1
2,"[0.587684, 0.5044779, 0.5154944, 0.5636342, 0.5265879, 0.4303635, 0.5586273, 0.6258307, 0.5772989, 0.3490996, 0.852334, 0.7774974, 0.8433316, 0.1896675]",1
3,"[0.5876841, 0.504478, 0.5154945, 0.5636343, 0.526588, 0.4303636, 0.5586274, 0.6258308, 0.577299, 0.3490997, 0.8523341, 0.7774975, 0.8433317, 0.1896676]",1
4,"[0.5876842, 0.5044781, 0.5154946, 0.5636344, 0.5265881, 0.4303637, 0.5586275, 0.6258309, 0.5772991, 0.3490998, 0.8523342, 0.7774976, 0.8433318, 0.1896677]",1
5,"[0.5876843, 0.5044782, 0.5154947, 0.5636345, 0.5265882, 0.4303638, 0.5586276, 0.625831, 0.5772992, 0.3490999, 0.8523343, 0.7774977, 0.8433319, 0.1896678]",1
6,"[0.5876844, 0.5044783, 0.5154948, 0.5636346, 0.5265883, 0.4303639, 0.5586277, 0.6258311, 0.5772993, 0.3491, 0.8523344, 0.7774977, 0.843332, 0.1896679]",1
7,"[0.5876845, 0.5044784, 0.5154949, 0.5636347, 0.5265884, 0.430364, 0.5586278, 0.6258312, 0.5772994, 0.3491001, 0.8523345, 0.7774979, 0.8433321, 0.189668]",1
8,"[0.5876846, 0.5044785, 0.515495, 0.5636348, 0.5265885, 0.4303641, 0.5586279, 0.6258313, 0.5772995, 0.3491002, 0.8523346, 0.7774979, 0.8433322, 0.1896681]",1
9,"[0.5876847, 0.5044786, 0.5154951, 0.5636349, 0.5265886, 0.4303642, 0.558628, 0.6258314, 0.5772996, 0.3491003, 0.8523347, 0.7774981, 0.8433323, 0.1896682]",1
10,"[0.5876848, 0.5044787, 0.5154952, 0.563635, 0.5265887, 0.4303643, 0.5586281, 0.6258315, 0.5772997, 0.3491004, 0.8523348, 0.7774981, 0.8433324, 0.1896683]",1
11,"[0.4839901, 0.486965, 0.4020809, 0.5481432, 0.4105329, 0.4066737, 0.4292636, 0.616512, 0.4517997, 0.3245729, 0.7324614, 0.788226, 0.7322821, 0.1867169]",1
12,"[0.4839902, 0.4869651, 0.402081, 0.5481433, 0.410533, 0.4066738, 0.4292637, 0.6165121, 0.4517998, 0.324573, 0.7324615, 0.7882261, 0.7322822, 0.186717]",1
13,"[0.4839903, 0.4869652, 0.4020811, 0.5481434, 0.4105331, 0.4066739, 0.4292638, 0.6165122, 0.4517999, 0.3245731, 0.7324616, 0.7882262, 0.7322823, 0.1867171]",1
14,"[0.4839904, 0.4869653, 0.4020812, 0.5481435, 0.4105332, 0.406674, 0.4292639, 0.6165123, 0.4518, 0.3245732, 0.7324617, 0.7882263, 0.7322824, 0.1867172]",1
15,"[0.4839905, 0.4869654, 0.4020813, 0.5481436, 0.4105333, 0.4066741, 0.429264, 0.6165124, 0.4518001, 0.3245733, 0.7324618, 0.7882264, 0.7322825, 0.1867173]",1
16,"[0.4839906, 0.4869655, 0.4020814, 0.5481437, 0.4105334, 0.4066742, 0.4292641, 0.6165125, 0.4518002, 0.3245734, 0.7324619, 0.7882265, 0.7322826, 0.1867174]",1
17,"[0.4839907, 0.4869656, 0.4020815, 0.5481438, 0.4105335, 0.4066743, 0.4292642, 0.6165126, 0.4518003, 0.3245735, 0.732462, 0.7882266, 0.7322827, 0.1867175]",1
18,"[0.4839908, 0.4869657, 0.4020816, 0.5481439, 0.4105336, 0.4066744, 0.4292643, 0.6165127, 0.4518004, 0.3245736, 0.7324621, 0.7882267, 0.7322828, 0.1867176]",1
19,"[0.4839909, 0.4869658, 0.4020817, 0.548144, 0.4105337, 0.4066745, 0.4292644, 0.6165128, 0.4518005, 0.3245737, 0.7324622, 0.7882268, 0.7322829, 0.1867177]",1
20,"[0.483991, 0.4869659, 0.4020818, 0.5481441, 0.4105338, 0.4066746, 0.4292645, 0.6165129, 0.4518006, 0.3245738, 0.7324623, 0.7882269, 0.732283, 0.1867178]",1
21,"[0.4839911, 0.486966, 0.4020819, 0.5481442, 0.4105339, 0.4066747, 0.4292646, 0.616513, 0.4518007, 0.3245739, 0.7324624, 0.788227, 0.7322831, 0.1867179]",1
22,"[0.5412546, 0.5001088, 0.4557394, 0.5623991, 0.4656177, 0.4221462, 0.4842158, 0.6291277, 0.5067967, 0.342217, 0.7993753, 0.7827315, 0.7936973, 0.1901436]",1
23,"[0.5412547, 0.5001089, 0.4557395, 0.5623992, 0.4656178, 0.4221463, 0.4842159, 0.6291278, 0.5067968, 0.3422171, 0.7993754, 0.7827316, 0.7936974, 0.1901437]",1
24,"[0.5412548, 0.500109, 0.4557396, 0.5623993, 0.4656179, 0.4221464, 0.484216, 0.6291279, 0.5067969, 0.3422172, 0.7993755, 0.7827317, 0.7936975, 0.1901438]",1
25,"[0.5412549, 0.5001091, 0.4557397, 0.5623994, 0.465618, 0.4221465, 0.4842161, 0.629128, 0.506797, 0.3422173, 0.7993756, 0.7827318, 0.7936976, 0.1901439]",1
26,"[0.541255, 0.5001092, 0.4557399, 0.5623995, 0.4656181, 0.4221466, 0.4842162, 0.6291281, 0.5067971, 0.3422174, 0.7993757, 0.7827319, 0.7936977, 0.190144]",1
27,"[0.5412551, 0.5001093, 0.45574, 0.5623996, 0.4656182, 0.4221467, 0.4842163, 0.6291282, 0.5067972, 0.3422175, 0.7993758, 0.782732, 0.7936978, 0.1901441]",1
28,"[0.5412552, 0.5001094, 0.4557401, 0.5623997, 0.4656183, 0.4221468, 0.4842164, 0.6291283, 0.5067973, 0.3422176, 0.7993759, 0.7827321, 0.7936979, 0.1901442]",1
29,"[0.5412553, 0.5001095, 0.4557402, 0.5623998, 0.4656184, 0.4221469, 0.4842165, 0.6291284, 0.5067974, 0.3422177, 0.799376, 0.7827322, 0.793698, 0.1901443]",1
30,"[0.5412554, 0.5001096, 0.4557403, 0.5623999, 0.4656185, 0.422147, 0.4842166, 0.6291285, 0.5067975, 0.3422178, 0.7993761, 0.7827323, 0.7936981, 0.1901444]",1
31,"[0.5412555, 0.5001097, 0.4557404, 0.5624, 0.4656186, 0.4221471, 0.4842167, 0.6291286, 0.5067976, 0.3422179, 0.7993762, 0.7827324, 0.7936982, 0.1901445]",1
32,"[0.5412556, 0.5001098, 0.4557405, 0.5624001, 0.4656187, 0.4221472, 0.4842168, 0.6291287, 0.5067977, 0.342218, 0.7993763, 0.7827325, 0.7936983, 0.1901446]",1
33,"[0.5459225, 0.4996202, 0.4645328, 0.5589708, 0.4757514, 0.4195927, 0.4895055, 0.6270996, 0.518694, 0.340485, 0.8023604, 0.7818181, 0.8002039, 0.1877291]",1
34,"[0.5459226, 0.4996203, 0.4645329, 0.5589709, 0.4757515, 0.4195928, 0.4895056, 0.6270997, 0.5186941, 0.3404851, 0.8023605, 0.7818182, 0.800204, 0.1877292]",1
35,"[0.5459227, 0.4996204, 0.464533, 0.558971, 0.4757516, 0.4195929, 0.4895057, 0.6270998, 0.5186942, 0.3404852, 0.8023606, 0.7818183, 0.8002041, 0.1877293]",1
36,"[0.5459228, 0.4996205, 0.4645331, 0.5589711, 0.4757517, 0.419593, 0.4895058, 0.6270999, 0.5186943, 0.3404853, 0.8023607, 0.7818184, 0.8002042, 0.1877294]",1
37,"[0.5459229, 0.4996206, 0.4645332, 0.5589712, 0.4757518, 0.4195931, 0.4895059, 0.6271, 0.5186944, 0.3404854, 0.8023608, 0.7818185, 0.8002043, 0.1877295]",1
38,"[0.545923, 0.4996207, 0.4645333, 0.5589713, 0.4757519, 0.4195932, 0.489506, 0.6271001, 0.5186945, 0.3404855, 0.8023609, 0.7818186, 0.8002044, 0.1877296]",1
39,"[0.5459231, 0.4996208, 0.4645334, 0.5589714, 0.475752, 0.4195933, 0.4895061, 0.6271002, 0.5186946, 0.3404856, 0.802361, 0.7818187, 0.8002045, 0.1877297]",1
40,"[0.5459232, 0.4996209, 0.4645335, 0.5589715, 0.4757521, 0.4195934, 0.4895062, 0.6271003, 0.5186947, 0.3404857, 0.8023611, 0.7818188, 0.8002046, 0.1877298]",1
41,"[0.5459233, 0.499621, 0.4645336, 0.5589716, 0.4757522, 0.4195935, 0.4895063, 0.6271004, 0.5186948, 0.3404858, 0.8023612, 0.7818189, 0.8002047, 0.1877299]",1
42,"[0.5459234, 0.4996211, 0.4645337, 0.5589717, 0.4757523, 0.4195936, 0.4895064, 0.6271005, 0.5186949, 0.3404859, 0.8023613, 0.781819, 0.8002048, 0.18773]",1
43,"[0.5459235, 0.4996212, 0.4645338, 0.5589718, 0.4757524, 0.4195937, 0.4895065, 0.6271006, 0.518695, 0.340486, 0.8023614, 0.7818191, 0.8002049, 0.1877301]",1
44,"[0.478669, 0.5060686, 0.402869, 0.564361, 0.4071862, 0.4316773, 0.4312368, 0.6272287, 0.4440103, 0.3477279, 0.751428, 0.7851393, 0.7591321, 0.1993865]",1
45,"[0.4786691, 0.5060687, 0.4028691, 0.5643611, 0.4071863, 0.4316774, 0.4312369, 0.6272288, 0.4440105, 0.347728, 0.7514281, 0.7851394, 0.7591322, 0.1993866]",1
46,"[0.4786692, 0.5060688, 0.4028692, 0.5643612, 0.4071864, 0.4316775, 0.431237, 0.6272289, 0.4440106, 0.3477281, 0.7514282, 0.7851395, 0.7591323, 0.1993867]",1
47,"[0.4786693, 0.5060689, 0.4028693, 0.5643613, 0.4071865, 0.4316776, 0.4312371, 0.627229, 0.4440107, 0.3477282, 0.7514283, 0.7851396, 0.7591324, 0.1993868]",1
48,"[0.4786694, 0.506069, 0.4028694, 0.5643614, 0.4071866, 0.4316777, 0.4312372, 0.6272291, 0.4440108, 0.3477283, 0.7514284, 0.7851397, 0.7591325, 0.1993869]",1
49,"[0.4786695, 0.5060691, 0.4028695, 0.5643615, 0.4071867, 0.4316778, 0.4312373, 0.6272292, 0.4440109, 0.3477284, 0.7514285, 0.7851398, 0.7591326, 0.199387]",1
50,"[0.4786696, 0.5060692, 0.4028696, 0.5643615, 0.4071868, 0.4316779, 0.4312374, 0.6272293, 0.444011, 0.3477285, 0.7514286, 0.7851399, 0.7591327, 0.1993871]",1
